id,name,followers,favourites
228,diacorzo,335,2872
229,manujas4,375,1155
230,MoikSamudio,384,1657
231,rafaordm,394,143
232,iwiedmann,406,574
233,AdriVargasR,415,273
234,inigoldem,423,1046
235,Andreaevila,439,348
236,miguecalzado,441,129
237,SGodoyMateus,445,593
238,YolandaGaitan13,487,91
239,KarinaRedondo,497,1167
240,juancribarrera,504,41
241,layala24,533,213
242,DgarciaDG,541,2223
243,dieramB2,553,2008
244,FundaSuperior,556,107
245,juliethcort,560,632
246,Hacerlapazes,579,281
247,JoNaranjoC,602,1822
248,TedeConsultores,604,152
249,ANDARECLASS,613,10211
250,nat_leona,630,1031
251,JohnCorcoranFDN,649,66
252,jrafamartin,655,1908
253,Educa_Rionegro,657,2035
254,anavrodriquezv,687,937
255,PorPaoE,697,3157
256,MiradasDIE_UD,705,279
257,omuel28,711,618
258,EnClaseCol,741,358
259,olaznoGB,766,1570
260,EducacionCaldas,780,2062
261,oscarauza,787,273
262,RUPIVColombia,822,2185
263,funarte_,843,129
264,playFunBox,853,44
265,FacuEducacion,855,94
266,DiegoAleAgudelo,882,628
267,sergiorengifo,885,2687
268,LinaSalazar,897,2163
269,Dividendo1,913,2723
270,ClaudiaHurtadob,923,1653
271,Alexandra_Rice,925,364
272,nicolasweb20,982,1415
273,hussablake,988,5514
274,kaotot,1019,471
275,elivillota,1024,347
276,catalinitaga,1033,4412
277,SemArmenia,1044,114
278,asanchezram,1068,2237
279,GenesisColombia,1070,191
280,semapartado,1071,42
281,Bogotagotagota,1088,40
282,mialatam,1089,1009
283,jhansandoval,1095,1054
284,Coschool_,1100,774
285,XGDC,1142,1228
286,anitalesmes,1216,217
287,atavaldivieso,1224,772
288,PrensaBBVA_CO,1236,2505
289,StreamingCol,1247,2291
290,ciudadano0,1248,154
291,MrTitus,1269,373
292,SEDAtlantico,1274,775
293,cmogotocoro,1276,217
294,TeatroVreve,1305,1731
295,FUNDECA,1339,491
296,pedagogovirtual,1362,60
297,edoome,1369,92
298,Diette,1375,147
299,CarmenVCultura,1388,1056
300,PereiraComunica,1389,1558
301,BeGirlOrg,1408,928
302,PabloJaramilloQ,1412,40
303,intEducacion,1428,71
304,innpactia,1476,585
305,claudiaparicio,1476,2425
306,LinaMTellezM,1487,3214
307,florentdsouza,1516,2084
308,OECCUninorte,1517,2052
309,EducacionDptal,1536,1100
310,biblioeduca,1536,199
311,programa2mp,1543,199
312,museolasalle,1551,111
313,chuisa,1569,382
314,catalinacock,1579,179
315,AULA_SMART,1680,483
316,jacosol,1711,283
317,CCONGcolombia,1716,133
318,Lolita_Cerilla,1744,8564
319,hectorpal,1810,932
320,elmjuan,1839,1733
321,RedRelata,1883,1269
322,tekonolosi,1890,1049
323,decanopostgrado,1915,3331
324,matias_scovotti,1945,64
325,aumebapo,1950,534
326,ReDeSoc_LAC,1982,87
327,NRC_LAC,2037,916
328,hersysegura,2108,4748
329,tec_educativas,2119,298
330,ForoCILAC,2123,1486
331,kenlee,2123,223
332,acadcienciacol,2142,483
333,periodismosinaf,2191,126
334,RSEalDia,2253,1243
335,EscuelaCo,2271,310
336,OperttiRenato,2308,4741
337,Utbvirtual,2326,166
338,Mastermania,2336,261
339,Creocorp,2389,375
340,FundProVivienda,2473,122
341,estudiavirtual,2478,53
342,AgustinosGR,2570,7658
343,TelevideoSAS,2687,2394
344,SecEducaCundi,2737,2302
345,Cardenas_JorgeH,2783,6247
346,RedEAmerica,2795,811
347,francylorena,2807,35775
348,TICyBibliotecas,2824,1455
349,pluna2008,2901,7223
350,siteal,2936,342
351,LauraBarragan_M,2950,713
352,EEColombia,3041,60
353,e_duco,3047,41
354,incolballet,3070,1239
355,EducaDigital,3114,1423
356,Voluntare,3146,10400
357,UmSalma,3147,773
358,Fundalecturaco,3158,1426
359,silviavinas,3163,1288
360,savechcolombia,3215,2355
361,Tecnnova_UEE,3218,2349
362,educaenvigado,3251,1866
363,CarlosSantiagoL,3327,513
364,educared_slibre,3334,190
365,USAID_Credit,3338,286
366,entrevinetas,3339,2525
367,fundacionterpel,3342,469
368,caritasgirona,3388,366
369,AfeColombia,3425,1859
370,LatinaSmart,3429,174
371,sandrabessudo,3486,514
372,vicsaavedraM,3538,2410
373,RedForumEmpresa,3580,1146
374,EducaPereira,3592,2438
375,EducaRedPE,3748,202
376,johanapimiento,3793,490
377,mnmsba,3798,5877
378,labuenaempresa,3805,3051
379,1000currents,3881,1898
380,sedboyaca,3989,3391
381,iberlectura,4000,1167
382,nmolano,4007,2626
383,ReyNaranjo,4012,2558
384,RedPazJoven,4055,1842
385,LucinaJimenez,4225,3116
386,VoluntariadoCo,4520,357
387,FunCarvajal,4523,206
388,mtorne8,4653,1422
389,RedTICColombia,4688,41
390,LCaballeroD,4725,778
391,funsurtigas,4733,2796
392,RNBPColombia,4807,1241
393,OEWeek,4820,89
394,RedEspecial,4927,4559
395,ReservaThomas,4994,2138
396,SONANDOCUENTOS,5023,372
397,redAlumnos,5091,261
398,Fundacion_ExE,5132,237
399,CanadaColombia,5143,318
400,sabrinadiazrato,5204,2650
401,UniCorpas,5224,581
402,federacionISF,5241,1433
403,gonzaloandradec,5297,7189
404,aca_ciencia,5310,4322
405,CSR360GPN,5400,339
406,RedCarolinaCol,5404,299
407,anibaldelatorre,5452,344
408,Cerlalc,5486,1510
409,USITPOficial,5558,6984
410,ColombiaOEI,5621,5719
411,olmillos,5833,3916
412,Mosqueraaldia,5843,229
413,SEMCALI,5851,7453
414,periodistica,5906,5239
415,GeekGirlsLatam,5909,3548
416,aeioTU,5957,524
417,SaldarriagaConc,5981,3445
418,unite4ed,6046,49
419,MollyKinder,6107,2109
420,PremioFT,6116,53
421,edvoters,6334,2478
422,BIDeducacion,6366,778
423,FCSanFrancisco,6415,7206
424,desdewingu,6496,3793
425,lasallistas,6519,404
426,nancyflanagan,6615,13431
427,bppiloto,6725,1226
428,Districalc,6741,93
429,OlgaLVelasquez,6787,2506
430,edfutures,6792,238
431,Escuela_wke,7346,368
432,JuanBeka,7531,1160
433,Casatomadalibro,7583,215
434,Fundacion_Beca,7612,226
435,SemMonteria,7905,2167
436,ALCtunjuelito,7932,1840
437,redpueblos,8099,901
438,jjdeharo,8192,72
439,Studydotcom,8366,626
440,fundacionsemana,8470,1480
441,edudigital,8487,210
442,senecaeducacion,8577,67
443,GIVETOCOLOMBIA,8593,2441
444,SAGEeducation,8649,616
445,GIFE,8679,343
446,fundcorona,8848,1512
447,villaves56,8968,227
448,ESADEexed,9046,3895
449,France_Colombia,9096,6948
450,APC_News,9169,1438
451,pilara,9340,2265
452,FSFB_Salud,9453,572
453,Sabanetadetodos,9579,2429
454,edutuiter,9715,50
455,CanadayColombia,9814,1457
456,jalexp1,9888,6381
457,revistalarva,10141,4870
458,ULaGranColombia,10379,449
459,Harvard_Ed_Pub,10449,228
460,FundacionAVINA,11346,1508
461,eduint,11352,2849
462,SchoolFamily,11354,47
463,Derechodeautor,11371,417
464,EdEvolving,11422,181
465,VictoriaBxE,11716,3203
466,enREDo,11907,233
467,joannaprieto,11974,13226
468,colombiahoy,12090,198
469,ForosEspectador,12193,1091
470,mariaacaso,12224,205
471,fundacioncd,12267,117381
472,DIEB_UN,12303,1290
473,wikisaber_es,12328,146
474,SOLIDWORKSedu,12737,3736
475,AlcRionegro,12755,3499
476,OrgSolidarias,12873,727
477,planetariobta,12931,352
478,revista_rsevzla,12986,501
479,lindacq,13081,2904
480,CamLibro,13142,2547
