id,value
ant,
ant.simonrodriguezi,
ant.Corpoeducacion.gonzaloandradec,5297,7189
ant.Corpoeducacion.UnidadVictimas,72860,6766
ant.Corpoeducacion.HomeschoolBog,293,974
ant.Corpoeducacion.Hopenoespera,165,16259
ant.Corpoeducacion.educalab,59447,4182
ant.Corpoeducacion.MariaxEducacion,318,223
ant.Corpoeducacion.BIDeducacion,6366,778
ant.Corpoeducacion.FulbrightCol,17850,2018
ant.Corpoeducacion.ForoCILAC,2123,1486
ant.Corpoeducacion.CamLibro,13142,2547
ant.Corpoeducacion.FCEColombia,192577,8260
ant.Corpoeducacion.ConversacionCOL,23266,5671
ant.Corpoeducacion.JoseCarlosTecno,221319,6340
ant.Corpoeducacion.acadcienciacol,2142,483
ant.Corpoeducacion.VRI_UN,15624,5821
ant.Corpoeducacion.RedPazJoven,4055,1842
ant.Corpoeducacion.infopresidencia,764601,1603
ant.Corpoeducacion.ColombiaOEI,5621,5719
ant.Corpoeducacion.UNAnalisis,6136,17
ant.Corpoeducacion.ELgo_es,181,299
ant.Corpoeducacion.ASCUN1,18708,1958
ant.Corpoeducacion.siteal,2936,342
ant.Corpoeducacion.Foroeduciencia,218,48
ant.Corpoeducacion.serpilo_paga,15839,3843
ant.Corpoeducacion.BecasInt,7742,5
ant.Corpoeducacion.USITPOficial,5558,6984
ant.Corpoeducacion.semapartado,1071,42
ant.Corpoeducacion.jhansandoval,1095,1054
ant.Corpoeducacion.DAFP_COLOMBIA,30104,2568
ant.Corpoeducacion.LCaballeroD,4725,778
ant.Corpoeducacion.UniJaveriana,87489,3384
ant.Corpoeducacion.GEMReport,66123,792
ant.Corpoeducacion.juliethcort,560,632
ant.Corpoeducacion.A_delPacifico,52137,3213
ant.Corpoeducacion.educaCNIIE,67118,516
ant.Corpoeducacion.FutureLearn,75788,32577
ant.Corpoeducacion.UNESCO,3007270,12816
ant.Corpoeducacion.CMNUCC,37493,822
ant.Corpoeducacion.elpais_cultura,537315,95
ant.Corpoeducacion.layala24,533,213
ant.Corpoeducacion.rafaordm,394,143
ant.Corpoeducacion.FLACSOSG,10958,7
ant.Corpoeducacion.FLACSOARGENTINA,18925,91
ant.Corpoeducacion.colombiahoy,12090,198
ant.Corpoeducacion.BeGirlOrg,1408,928
ant.Corpoeducacion.UNICEFinnovate,23252,3581
ant.Corpoeducacion.JoNaranjoC,602,1822
ant.Corpoeducacion.VictoriaBxE,11716,3203
ant.Corpoeducacion.ICETEX,73198,4370
ant.Corpoeducacion.EquipoPazGob,75220,130
ant.Corpoeducacion.lunadavid,230459,6051
ant.Corpoeducacion.fundacionsemana,8470,1480
ant.Corpoeducacion.DgarciaDG,541,2223
ant.Corpoeducacion.MaHelenaCS,157,527
ant.Corpoeducacion.EducacionDptal,1536,1100
ant.Corpoeducacion.jcbeltran79,268,1869
ant.Corpoeducacion.docente2punto0,54579,103
ant.Corpoeducacion.dianis_ranis,25,57
ant.Corpoeducacion.rizomace,98,61
ant.Corpoeducacion.NELLYGARRETA,87,20
ant.Corpoeducacion.Funny_Love_Dew,158,460
ant.Corpoeducacion.educa3_0,28895,644
ant.Corpoeducacion.SenalColombia,658184,30397
ant.Corpoeducacion.TelevideoSAS,2687,2394
ant.Corpoeducacion.lizethvans,26,7
ant.Corpoeducacion.Mosqueraaldia,5843,229
ant.Corpoeducacion.educaINTEF,169780,1027
ant.Corpoeducacion.GeekGirlsLatam,5909,3548
ant.Corpoeducacion.Casatomadalibro,7583,215
ant.Corpoeducacion.TeacherPrize,24568,28823
ant.Corpoeducacion.pensar_ciudad,175,75
ant.Corpoeducacion.MisionCalidad,105,97
ant.Corpoeducacion.ochacolombia,25782,842
ant.Corpoeducacion.LauraBarragan_M,2950,713
ant.Corpoeducacion.OECCUninorte,1517,2052
ant.Corpoeducacion.revistalarva,10141,4870
ant.Corpoeducacion.entrevinetas,3339,2525
ant.Corpoeducacion.educaINEE,43134,1588
ant.Corpoeducacion.MegustaleerCo,42452,34647
ant.Corpoeducacion.ACIQ_Bogota,259,30
ant.Corpoeducacion.EnClaseCol,741,358
ant.Corpoeducacion.PTA_Colombia,13891,5140
ant.Corpoeducacion.FCompartirCol,3466,3436
ant.Corpoeducacion.PalabraMaestra,3226,3443
ant.Corpoeducacion.BecasporelMundo,37496,16
ant.Corpoeducacion.FacuEducacion,855,94
ant.Corpoeducacion.RUPIVColombia,822,2185
ant.Corpoeducacion.Cardenas_JorgeH,2783,6247
ant.Corpoeducacion.telemac0,433,30
ant.Corpoeducacion.TICyBibliotecas,2824,1455
ant.Corpoeducacion.anitalesmes,1216,217
ant.Corpoeducacion.ALCtunjuelito,7932,1840
ant.Corpoeducacion.PlanetarioMed,136507,6205
ant.Corpoeducacion.planetariobta,12931,352
ant.Corpoeducacion.CienciaCol,1705,37
ant.Corpoeducacion.BibloRedBogota,15746,4896
ant.Corpoeducacion.Fundalecturaco,3158,1426
ant.Corpoeducacion.ECOPETROL_SA,212390,1468
ant.Corpoeducacion.BancoRepublica,272098,261
ant.Corpoeducacion.BBVA_Colombia,24173,2479
ant.Corpoeducacion.PorPaoE,697,3157
ant.Corpoeducacion.ocdeenespanol,104660,982
ant.Corpoeducacion.UNICEFColombia,59901,3199
ant.Corpoeducacion.ONUMujeres,241139,207
ant.Corpoeducacion.PIRegistry,100400,2431
ant.Corpoeducacion.OnGood,348051,2618
ant.Corpoeducacion.UNICEFenEspanol,189541,6569
ant.Corpoeducacion.BancoMundial,384302,1564
ant.Corpoeducacion.pnud,309566,8042
ant.Corpoeducacion.cepal_onu,339091,2
ant.Corpoeducacion.VoluntariadoCo,4520,357
ant.Corpoeducacion.CCONGcolombia,1716,133
ant.Corpoeducacion.innpactia,1476,585
ant.Corpoeducacion.FILBogota,86790,6232
ant.Corpoeducacion.ReyNaranjo,4012,2558
