0,1,9
0,2,8
0,3,0
0,4,0
0,5,0
0,6,1
7,1,0
7,2,13
7,3,0
7,4,0
7,5,1
7,6,0
8,1,0
8,2,15
8,3,0
8,4,0
8,5,0
8,6,0
9,1,0
9,2,1
9,3,0
9,4,0
9,5,0
9,6,0
10,1,0
10,2,41
10,3,0
10,4,0
10,5,5
10,6,0
11,1,0
11,2,0
11,3,0
11,4,0
11,5,0
11,6,0
12,1,1
12,2,2
12,3,0
12,4,0
12,5,0
12,6,1
13,1,0
13,2,0
13,3,0
13,4,0
13,5,0
13,6,0
14,1,0
14,2,0
14,3,0
14,4,0
14,5,0
14,6,0
15,1,0
15,2,7
15,3,0
15,4,0
15,5,3
15,6,0
16,1,0
16,2,2
16,3,0
16,4,0
16,5,0
16,6,0
17,1,0
17,2,0
17,3,0
17,4,0
17,5,0
17,6,0
18,1,0
18,2,1
18,3,0
18,4,0
18,5,0
18,6,2
19,1,50
19,2,10
19,3,0
19,4,0
19,5,14
19,6,0
