1,0,1
2,0,4
3,0,23
4,0,229
5,0,1
6,0,3
7,0,1
8,0,3
9,0,7
10,0,49
11,0,2
12,0,15
13,0,11
14,0,231
1,15,1
2,15,3
3,15,117
4,15,40
5,15,3
6,15,2
7,15,8
8,15,4
9,15,8
10,15,333
11,15,1
12,15,2
13,15,13
14,15,393
1,16,1
2,16,9
3,16,52
4,16,54
5,16,3
6,16,2
7,16,4
8,16,2
9,16,31
10,16,335
11,16,1
12,16,15
13,16,24
14,16,461
1,17,1
2,17,4
3,17,13
4,17,19
5,17,24
6,17,7
7,17,3
8,17,10
9,17,9
10,17,29
11,17,1
12,17,5
13,17,14
14,17,34
1,18,1
2,18,4
3,18,14
4,18,32
5,18,1
6,18,1
7,18,4
8,18,9
9,18,7
10,18,30
11,18,1
12,18,11
13,18,4
14,18,23
1,19,1
2,19,17
3,19,42
4,19,16
5,19,6
6,19,1
7,19,5
8,19,1
9,19,2
10,19,29
11,19,4
12,19,1
13,19,11
14,19,51
1,20,1
2,20,32
3,20,39
4,20,68
5,20,65
6,20,1
7,20,43
8,20,21
9,20,25
10,20,17
11,20,2
12,20,8
13,20,11
14,20,39
1,21,1
2,21,28
3,21,14
4,21,76
5,21,44
6,21,3
7,21,8
8,21,24
9,21,11
10,21,139
11,21,1
12,21,14
13,21,20
14,21,187
1,22,1
2,22,4
3,22,1
4,22,97
5,22,16
7,22,1
8,22,5
9,22,9
10,22,42
11,22,2
12,22,8
13,22,10
14,22,81
1,23,1
2,23,1
3,23,16
4,23,16
5,23,10
6,23,2
7,23,6
8,23,4
9,23,55
10,23,24
12,23,17
13,23,8
14,23,471
1,24,1
2,24,4
3,24,19
4,24,63
5,24,1
6,24,5
7,24,4
8,24,7
9,24,4
10,24,79
12,24,5
13,24,9
14,24,80
1,25,1
2,25,1
3,25,4
4,25,29
6,25,1
7,25,4
8,25,2
9,25,24
10,25,17
11,25,1
12,25,6
13,25,6
14,25,11
1,26,1
2,26,5
3,26,23
4,26,44
5,26,8
6,26,3
7,26,5
8,26,7
9,26,4
10,26,43
12,26,8
13,26,4
14,26,29
1,27,1
2,27,67
3,27,347
4,27,49
5,27,59
6,27,12
7,27,23
8,27,18
9,27,8
10,27,770
12,27,9
13,27,123
14,27,485
1,28,1
2,28,10
3,28,8
4,28,6
5,28,21
7,28,3
8,28,1
9,28,1
10,28,34
11,28,2
12,28,3
13,28,4
14,28,22
1,29,1
2,29,1
3,29,122
4,29,396
5,29,9
6,29,4
7,29,44
8,29,135
9,29,14
10,29,391
12,29,68
13,29,35
14,29,53
1,30,1
2,30,5
3,30,10
4,30,34
5,30,2
6,30,2
7,30,4
8,30,19
9,30,3
10,30,17
12,30,1
13,30,1
14,30,5
1,31,1
2,31,10
3,31,26
4,31,113
5,31,15
6,31,1
7,31,7
8,31,31
9,31,24
10,31,53
12,31,21
13,31,30
14,31,100
1,32,1
2,32,3
3,32,34
4,32,182
5,32,2
6,32,6
7,32,6
8,32,22
9,32,29
10,32,74
12,32,18
13,32,9
14,32,151
1,33,1
2,33,3
3,33,10
4,33,63
5,33,9
7,33,2
8,33,2
9,33,3
10,33,121
11,33,1
12,33,12
13,33,3
14,33,92
